iter	Passed	Remaining
681	71503	33340
682	71600	33231
683	71711	33129
684	71830	33031
685	71933	32925
686	72028	32816
687	72130	32710
688	72231	32603
689	72321	32492
690	72419	32384
691	72530	32282
692	72652	32185
693	72771	32086
694	72889	31987
695	72986	31879
696	73090	31773
697	73198	31670
698	73306	31566
699	73414	31463
700	73522	31359
701	73631	31256
702	73733	31150
703	73842	31047
704	73974	30953
705	74085	30851
706	74182	30743
707	74300	30643
708	74391	30532
709	74486	30423
710	74576	30313
711	74671	30204
712	74768	30096
713	74871	29990
714	74970	29883
715	75080	29780
716	75170	29669
717	75248	29554
718	75363	29453
719	75512	29365
720	75623	29263
721	75752	29167
722	75864	29065
723	75964	28959
724	76077	28856
725	76177	28750
726	76255	28635
727	76341	28523
728	76416	28407
729	76519	28301
730	76623	28196
731	76701	28082
732	76825	27984
733	76936	27881
734	77060	27783
735	77175	27682
736	77267	27572
737	77362	27464
738	77464	27358
739	77575	27256
740	77659	27144
741	77785	27046
742	77897	26944
743	78003	26839
744	78119	26738
745	78224	26633
746	78328	26528
747	78435	26424
748	78550	26323
749	78657	26219
750	78761	26113
751	78856	26005
752	78941	25894
753	79042	25788
754	79158	25687
755	79267	25583
756	79378	25480
757	79476	25373
758	79588	25271
759	79692	25166
760	79815	25066
761	79917	24961
762	79996	24848
763	80122	24749
764	80237	24648
765	80343	24543
766	80434	24434
767	80533	24327
768	80619	24217
769	80710	24108
770	80807	24001
771	80928	23901
772	81039	23798
773	81136	23690
774	81241	23586
775	81329	23476
776	81442	23374
777	81542	23267
778	81649	23163
779	81747	23057
780	81857	22953
781	81958	22847
782	82066	22743
783	82176	22640
784	82272	22533
785	82345	22419
786	82450	22315
787	82542	22206
788	82668	22107
789	82777	22004
790	82877	21898
791	82983	21793
792	83082	21687
793	83194	21584
794	83278	21474
795	83370	21366
796	83474	21261
797	83586	21158
798	83682	21051
799	83801	20950
800	83892	20842
801	83984	20734
802	84076	20626
803	84189	20523
804	84289	20418
805	84382	20310
806	84457	20198
807	84558	20093
808	84660	19987
809	84751	19880
810	84862	19776
811	84969	19672
812	85070	19567
813	85173	19462
814	85292	19360
815	85398	19256
816	85498	19150
817	85602	19046
818	85722	18944
819	85830	18840
820	85923	18733
821	86003	18623
822	86102	18517
823	86201	18411
824	86310	18308
825	86404	18201
826	86511	18097
827	86602	17989
828	86693	17882
829	86809	17780
830	86902	17673
831	87008	17569
832	87095	17460
833	87183	17353
834	87295	17249
835	87396	17144
836	87500	17040
837	87597	16934
838	87721	16833
839	87826	16728
840	87932	16624
841	88037	16520
842	88129	16413
843	88229	16307
844	88329	16202
845	88427	16096
846	88546	15994
847	88637	15887
848	88739	15782
849	88853	15679
850	88949	15574
851	89042	15467
852	89143	15362
853	89254	15258
854	89349	15152
855	89435	15045
856	89529	14938
857	89629	14833
858	89740	14730
859	89853	14627
860	89967	14524
861	90082	14421
862	90182	14316
863	90299	14213
864	90421	14112
865	90536	14009
866	90645	13905
867	90747	13800
868	90851	13695
869	90953	13590
870	91072	13488
871	91202	13387
872	91306	13282
873	91404	13177
874	91518	13074
875	91630	12970
876	91743	12867
877	91841	12761
878	91941	12656
879	92060	12553
880	92150	12447
881	92256	12342
882	92353	12237
883	92459	12132
884	92549	12026
885	92662	11922
886	92766	11818
887	92858	11711
888	92979	11609
889	93072	11503
890	93178	11398
891	93278	11293
892	93386	11189
893	93482	11084
894	93589	10979
895	93694	10875
896	93791	10769
897	93889	10664
898	93988	10559
899	94100	10455
900	94214	10352
901	94318	10247
902	94427	10143
903	94524	10038
904	94616	9932
905	94706	9826
906	94793	9719
907	94903	9615
908	94996	9510
909	95094	9404
910	95191	9299
911	95294	9195
912	95389	9089
913	95512	8986
914	95615	8882
915	95713	8777
916	95809	8671
917	95922	8568
918	96030	8464
919	96125	8358
920	96207	8252
921	96301	8146
922	96405	8042
923	96523	7939
924	96602	7832
925	96713	7728
926	96812	7623
927	96921	7519
928	97026	7415
929	97148	7312
930	97265	7208
931	97377	7104
932	97479	7000
933	97573	6894
934	97651	6788
935	97748	6683
936	97853	6579
937	97958	6474
938	98056	6369
939	98164	6265
940	98269	6161
941	98378	6057
942	98493	5953
943	98597	5849
944	98717	5745
945	98788	5639
946	98893	5534
947	99011	5431
948	99120	5326
949	99225	5222
950	99326	5117
951	99418	5012
952	99527	4908
953	99626	4803
954	99739	4699
955	99843	4595
956	99964	4491
957	100071	4387
958	100174	4282
959	100292	4178
960	100384	4073
961	100494	3969
962	100592	3864
963	100721	3761
964	100796	3655
965	100893	3551
966	100976	3445
967	101065	3341
968	101154	3236
969	101266	3131
970	101363	3027
971	101475	2923
972	101553	2818
973	101651	2713
974	101755	2609
975	101837	2504
976	101905	2398
977	101999	2294
978	102074	2189
979	102168	2085
980	102273	1980
981	102379	1876
982	102470	1772
983	102567	1667
984	102668	1563
985	102772	1459
986	102881	1355
987	102996	1250
988	103094	1146
989	103190	1042
990	103308	938
991	103412	833
992	103507	729
993	103607	625
994	103720	521
995	103837	417
996	103955	312
997	104048	208
998	104148	104
999	104260	0
